Company,Stock,Asset Class
LTC,11.06,Top Cryptos
WPC,5.3,US Mega Caps
XRP,3.5,Top Cryptos
TSLA,2.6,US Mega Caps
C,2.1,US Mega Caps
WMT,2,US Mega Caps
XPTUSD,0.9,Metals
HG1,0.85,Metals
RTY,0.8,Equilty Indices
HO1,0.35,Energy
XLM,0.25,Top Cryptos
XPDUSD,-0.1,Metals
CL1,-0.15,Energy
XAUUSD,-0.2,Metals
CO1,-0.25,Energy
BCH,-0.3,Top Cryptos
UKX,-0.8,Equilty Indices
SX5E,-0.82,Equilty Indices
DAX,-0.83,Equilty Indices
XAGUSD,-0.84,Metals
NFTY,-0.95,Equilty Indices
ETH,-1.2,Top Cryptos
DL1,-1.9,Energy
UNH,-1.95,US Mega Caps
NG1,-4.42,Energy
